codebook_size,codebook_collision_rate,quantization_error_mean,token_entropy,raw_real_utility_n64,combined_real_utility_n64,repair_gain_n64
4,0.25666666666666665,0.15869293369517706,1.995367937659999,0.04075947880701184,0.662541054630985,0.6217815758239732
6,0.25416666666666665,0.13457019926613506,2.565582245824462,0.037839661845517646,0.6390910425138163,0.6012513806682986
8,0.26916666666666667,0.1184291338432952,2.941152410523059,0.07486881981543222,0.6405832069709527,0.5657143871555205
12,0.2658333333333333,0.09757812632899196,3.5110997646326165,0.06893027027305636,0.6704442308760473,0.601513960602991
16,0.2425,0.08473698837328704,3.8926664473113943,0.07099442147718255,0.623932741898926,0.5529383204217435
24,0.2683333333333333,0.07038602765434292,4.467064713203417,0.08896769008340484,0.6518487794021974,0.5628810893187925
